FECHA;PUESTOLLEGADA;NUMAUTO;NOMBREPILOTO;EQUIPO;VUELTAS;TPOCARRERA;PUESTOPARRILLA;PUNTOSCARRERA
2012/07/29;14;15;Sergio Perez;Sauber-Ferrari;69;+64.4 secs;14;0
2012/07/29;15;16;Daniel Ricciardo;STR-Ferrari;68;+1 Lap;18;0
2012/07/29;16;17;Jean-Eric Vergne;STR-Ferrari;68;+1 Lap;16;0
2012/07/29;17;20;Heikki Kovalainen;Caterham-Renault;68;+1 Lap;19;0
2012/07/29;18;14;Kamui Kobayashi;Sauber-Ferrari;67;Hydraulics;15;0
2012/07/29;19;21;Vitaly Petrov;Caterham-Renault;67;+2 Laps;20;0
2012/07/29;20;25;Charles Pic;Marussia-Cosworth;67;+2 Laps;21;0
2012/07/29;21;24;Timo Glock;Marussia-Cosworth;66;+3 Laps;22;0
2012/07/29;22;22;Pedro de la Rosa;HRT-Cosworth;66;+3 Laps;23;0
2012/07/29;Ret;23;Narain Karthikeyan;HRT-Cosworth;60;Steering;24;0
2012/07/29;Ret;7;Michael Schumacher;Mercedes;58;Technical;17;0
2012/09/02;1;3;Jenson Button;McLaren-Mercedes;44;1:29:08.530;1;25
2012/09/02;2;1;Sebastian Vettel;Red Bull Racing-Renault;44;+13.6 secs;10;18
2012/09/02;3;9;Kimi Raikkonen;Lotus-Renault;44;+25.3 secs;3;15
2012/09/02;4;12;Nico Hulkenberg;Force India-Mercedes;44;+27.8 secs;11;12
2012/09/02;5;6;Felipe Massa;Ferrari;44;+29.8 secs;14;10
2012/09/02;6;2;Mark Webber;Red Bull Racing-Renault;44;+31.2 secs;12;8
2012/09/02;7;7;Michael Schumacher;Mercedes;44;+53.3 secs;13;6
2012/09/02;8;17;Jean-Eric Vergne;STR-Ferrari;44;+58.8 secs;15;4
2012/09/02;9;16;Daniel Ricciardo;STR-Ferrari;44;+62.9 secs;16;2
2012/09/02;10;11;Paul di Resta;Force India-Mercedes;44;+63.7 secs;9;1
2012/09/02;11;8;Nico Rosberg;Mercedes;44;+65.1 secs;23;0
2012/09/02;12;19;Bruno Senna;Williams-Renault;44;+71.5 secs;17;0
2012/09/02;13;14;Kamui Kobayashi;Sauber-Ferrari;43;+1 Lap;2;0
2012/09/02;14;21;Vitaly Petrov;Caterham-Renault;43;+1 Lap;19;0
2012/09/02;15;24;Timo Glock;Marussia-Cosworth;43;+1 Lap;20;0
2012/09/02;16;25;Charles Pic;Marussia-Cosworth;43;+1 Lap;22;0
2012/09/02;17;20;Heikki Kovalainen;Caterham-Renault;43;+1 Lap;18;0
2012/09/02;18;22;Pedro de la Rosa;HRT-Cosworth;43;+1 Lap;21;0
2012/09/02;Ret;23;Narain Karthikeyan;HRT-Cosworth;29;Accident;24;0
2012/09/02;Ret;18;Pastor Maldonado;Williams-Renault;4;Accident;6;0
2012/09/02;Ret;15;Sergio Perez;Sauber-Ferrari;0;Accident;4;0
2012/09/02;Ret;5;Fernando Alonso;Ferrari;0;Accident;5;0
2012/09/02;Ret;4;Lewis Hamilton;McLaren-Mercedes;0;Accident;7;0
2012/09/02;Ret;10;Romain Grosjean;Lotus-Renault;0;Accident;8;0
